cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,Senate,9/2/22,WI-S3,Mandela Barnes,Ron Johnson,4,Expert ratings adjusted for national environment,-4.364991,0,0,2.332234,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WI-S3,Mandela Barnes,Ron Johnson,3,Fundamentals (non-polling factors),-1.599628,0,1.284435,1.284435,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WI-S3,Mandela Barnes,Ron Johnson,2,CANTOR (analysis of comparable disticts),-6.018804,0,.1545999,.1545999,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WI-S3,Mandela Barnes,Ron Johnson,1,Polls adjusted for house effects & other factors,4.075947,3.237039,3.237039,3.237039,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WA-S3,Patty Murray,Tiffany Smiley,4,Expert ratings adjusted for national environment,19.02005,0,0,2.121678,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WA-S3,Patty Murray,Tiffany Smiley,3,Fundamentals (non-polling factors),17.82019,0,1.342794,1.342794,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WA-S3,Patty Murray,Tiffany Smiley,2,CANTOR (analysis of comparable disticts),15.13939,0,.0962403,.0962403,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,WA-S3,Patty Murray,Tiffany Smiley,1,Polls adjusted for house effects & other factors,10.65049,2.81488,2.81488,2.81488,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,VT-S3,Peter Welch,Gerald Malloy,4,Expert ratings adjusted for national environment,27.86854,0,0,.7177314,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,VT-S3,Peter Welch,Gerald Malloy,3,Fundamentals (non-polling factors),28.33453,0,1.284435,1.284435,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,VT-S3,Peter Welch,Gerald Malloy,2,CANTOR (analysis of comparable disticts),27.23535,.8358126,.1545999,.1545999,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,VT-S3,Peter Welch,Gerald Malloy,1,Polls adjusted for house effects & other factors,,0,0,0,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,UT-S3,Evan McMullin,Mike Lee,4,Expert ratings adjusted for national environment,-16.15965,0,0,1.670963,40000,20:12:01  2 Sep 2022
2022,Senate,9/2/22,UT-S3,Evan McMullin,Mike Lee,3,Fundamentals (non-polling factors),-25.83924,0,1.284435,1.284435,40000,20:12:01  2 Sep 2022
